Name,Category,Tags,Link,Learned,Reinforced,Video Solution
Longest Substring Without Repeating Characters,String,,https://leetcode.com/problems/longest-substring-without-repeating-characters/,,,https://youtu.be/wiGpQwVHdE0
Longest Repeating Character Replacement,String,,https://leetcode.com/problems/longest-repeating-character-replacement/,,,https://youtu.be/gqXU1UyA8pk
Minimum Window Substring,String,,https://leetcode.com/problems/minimum-window-substring/,,,https://youtu.be/jSto0O4AJbM
Valid Anagram,String,,https://leetcode.com/problems/valid-anagram/,,,https://youtu.be/9UtInBqnCgA
Group Anagrams,String,,https://leetcode.com/problems/group-anagrams/,,,https://youtu.be/vzdNOK2oB2E
Valid Parentheses,String,,https://leetcode.com/problems/valid-parentheses/,,,https://youtu.be/WTzjTskDFMg
Valid Palindrome,String,,https://leetcode.com/problems/valid-palindrome/,,,https://youtu.be/jJXJ16kPFWg
Longest Palindromic Substring,String,,https://leetcode.com/problems/longest-palindromic-substring/,,,https://youtu.be/XYQecbcd6_c
Palindromic Substrings,String,,https://leetcode.com/problems/palindromic-substrings/,,,https://youtu.be/4RACzI5-du8
Encode and Decode Strings (Leetcode Premium),String,,https://leetcode.com/problems/encode-and-decode-strings/,,,https://youtu.be/B1k_sxOSgv8
Maximum Depth of Binary Tree,Tree,,https://leetcode.com/problems/maximum-depth-of-binary-tree/,,,https://youtu.be/hTM3phVI6YQ
Same Tree,Tree,,https://leetcode.com/problems/same-tree/,,,https://youtu.be/vRbbcKXCxOw
Invert/Flip Binary Tree,Tree,,https://leetcode.com/problems/invert-binary-tree/,,,https://youtu.be/OnSn2XEQ4MY
Binary Tree Maximum Path Sum,Tree,,https://leetcode.com/problems/binary-tree-maximum-path-sum/,,,https://youtu.be/Hr5cWUld4vU
Binary Tree Level Order Traversal,Tree,,https://leetcode.com/problems/binary-tree-level-order-traversal/,,,https://youtu.be/6ZnyEApgFYg
Serialize and Deserialize Binary Tree,Tree,,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,,,https://youtu.be/u4JAi2JJhI8
Subtree of Another Tree,Tree,,https://leetcode.com/problems/subtree-of-another-tree/,,,https://youtu.be/E36O5SWp-LE
Construct Binary Tree from Preorder and Inorder Traversal,Tree,,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,,,https://youtu.be/ihj4IQGZ2zc
Validate Binary Search Tree,Tree,,https://leetcode.com/problems/validate-binary-search-tree/,,,https://youtu.be/s6ATEkipzow
Kth Smallest Element in a BST,Tree,,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,,,https://youtu.be/5LUXSvjmGCw
Lowest Common Ancestor of BST,Tree,,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,,,https://youtu.be/gs2LMfuOR9k
House Robber II,Tree,,https://leetcode.com/problems/implement-trie-prefix-tree/,,,https://youtu.be/oobqoCJlHA0
Add and Search Word,Tree,,https://leetcode.com/problems/add-and-search-word-data-structure-design/,,,https://youtu.be/BTf05gs_8iU
Word Search II,Tree,,https://leetcode.com/problems/word-search-ii/,,,https://youtu.be/asbcE9mZz_U
Merge K Sorted Lists,Heap,,https://leetcode.com/problems/merge-k-sorted-lists/,,,https://youtu.be/q5a5OiGbT6Q
Top K Frequent Elements,Heap,,https://leetcode.com/problems/top-k-frequent-elements/,,,https://youtu.be/YPTqKIgVk-k
Find Median from Data Stream,Heap,,https://leetcode.com/problems/find-median-from-data-stream/,,,https://youtu.be/itmhHWaHupI
Find Pivot Index,Prefix Sum,mathematic tracking,https://leetcode.com/problems/find-pivot-index/?envType=study-plan-v2&envId=leetcode-75,"How to optimize managing a running total instead of searching prefix and postfix sums for each element. ","Leveraging reducer for a total sum. However I did use this to constantly track the rightSum exlcusive of current index. ",
